frame,tracklet_id,l,t,w,h,probability_of_detection
859,1,350.27,-390.49,294.68,812.03,0.68
860,1,373.94,-342.35,264.40,728.83,0.60
861,1,381.69,-326.45,253.25,698.46,0.64
862,1,391.55,-288.94,231.73,637.58,0.55
863,1,359.18,-341.56,267.36,732.80,0.61
864,1,339.34,-357.47,284.00,772.47,0.75
865,1,338.15,-343.05,276.46,741.40,0.76
866,1,378.24,-292.42,243.80,649.36,0.70
867,1,379.84,-290.77,246.30,650.80,0.62
868,1,387.82,-283.59,244.27,641.88,0.68
869,1,380.27,-304.42,255.56,668.76,0.62
870,1,369.16,-316.05,264.20,683.09,0.62
871,1,373.53,-317.01,263.72,679.77,0.27
872,1,371.79,-332.99,275.33,709.76,0.25
873,1,369.92,-345.51,282.48,727.47,0.35
874,1,365.45,-345.11,286.94,735.03,0.32
875,1,364.81,-329.51,284.21,721.14,0.49
876,1,368.80,-323.20,280.02,704.92,0.17
877,1,379.60,-290.03,267.00,666.40,0.40
878,1,387.93,-252.45,259.91,643.50,0.34
879,1,388.51,-264.44,267.18,656.92,0.19
880,1,396.07,-245.94,261.29,637.32,0.54
881,1,401.13,-234.54,259.04,628.62,0.53
882,1,405.02,-234.74,263.05,634.76,0.53
883,1,407.80,-232.58,267.51,643.94,0.54
884,1,419.37,-224.19,261.32,627.88,0.56
885,1,432.17,-217.25,260.43,626.01,0.70
886,1,441.45,-211.77,262.38,632.90,0.63
887,1,449.79,-215.20,265.51,644.65,0.72
888,1,458.76,-221.70,266.20,649.27,0.66
889,1,470.77,-207.47,255.70,625.06,0.69
890,1,484.06,-203.14,243.36,593.87,0.61
891,1,488.94,-210.60,241.92,591.32,0.64
892,1,492.00,-214.98,243.63,598.27,0.67
893,1,487.40,-244.85,260.68,646.43,0.68
894,1,490.86,-255.43,263.71,659.19,0.74
895,1,493.80,-253.85,264.73,669.22,0.70
896,1,496.63,-260.64,263.10,671.43,0.67
897,1,504.02,-234.46,251.22,645.40,0.67
898,1,508.22,-222.89,244.75,632.03,0.67
899,1,507.09,-230.56,249.65,649.57,0.59
900,1,514.61,-205.76,235.83,615.10,0.75
901,1,517.75,-194.53,233.17,611.13,0.73
902,1,524.55,-173.90,222.70,585.00,0.74
903,1,528.73,-166.32,214.93,564.09,0.67
904,1,528.03,-161.82,216.96,571.23,0.58
905,1,529.14,-155.87,215.52,568.56,0.68
906,1,530.59,-151.42,210.43,552.45,0.67
907,1,525.55,-161.73,217.66,572.27,0.43
908,1,524.22,-160.25,219.66,577.12,0.52
909,1,523.13,-161.42,221.71,581.56,0.69
910,1,521.42,-165.44,226.09,591.46,0.68
911,1,515.40,-177.70,238.21,625.61,0.61
912,1,514.59,-180.61,243.95,643.22,0.69
913,1,514.50,-182.21,245.45,649.33,0.69
914,1,513.83,-170.88,244.82,648.99,0.72
915,1,512.33,-166.52,246.54,654.41,0.72
916,1,509.81,-161.99,244.64,646.57,0.69
917,1,507.56,-153.98,243.54,639.03,0.66
918,1,506.85,-149.52,241.71,628.98,0.70
919,1,507.48,-144.41,241.69,625.16,0.69
920,1,508.57,-135.28,242.22,622.86,0.68
921,1,506.05,-141.58,248.74,637.42,0.61
922,1,507.45,-136.17,248.27,633.88,0.62
923,1,508.84,-126.63,248.37,632.44,0.63
924,1,512.65,-119.13,244.94,620.71,0.61
925,1,514.24,-113.08,244.00,616.23,0.61
926,1,513.28,-114.90,247.84,625.69,0.48
927,1,514.99,-116.15,246.64,621.23,0.39
928,1,515.40,-117.34,247.95,623.65,0.41
929,1,515.97,-117.89,248.45,623.68,0.48
930,1,516.21,-114.96,249.65,624.47,0.58
931,1,517.55,-111.26,248.21,618.53,0.44
932,1,515.39,-114.77,254.28,633.18,0.67
933,1,517.81,-118.46,252.71,626.80,0.73
934,1,520.61,-115.94,251.21,620.72,0.72
934,4,1655.26,-207.97,306.94,788.54,0.58
935,1,520.52,-120.52,253.30,624.13,0.63
935,4,1656.38,-199.91,303.06,778.11,0.58
936,1,519.56,-123.61,257.64,634.55,0.73
936,4,1653.26,-204.81,302.40,776.66,0.56
937,1,520.80,-126.13,257.13,631.82,0.75
937,4,1658.14,-198.68,302.73,776.50,0.60
938,1,520.80,-129.10,258.92,634.96,0.72
938,4,1655.99,-195.12,294.80,755.21,0.47
939,1,521.08,-133.00,259.61,635.33,0.71
939,4,1654.97,-193.06,296.47,759.68,0.55
940,1,519.58,-131.57,263.24,643.67,0.76
940,4,1654.63,-197.73,300.88,770.73,0.58
941,1,518.14,-134.99,267.17,653.42,0.72
941,4,1654.76,-206.74,307.54,787.87,0.63
942,1,516.52,-131.53,269.66,659.61,0.71
942,4,1657.94,-203.17,301.94,769.61,0.55
943,1,515.95,-130.61,269.56,658.34,0.65
943,4,1652.48,-208.88,307.64,784.15,0.61
944,1,516.72,-126.47,266.38,647.74,0.73
944,4,1651.03,-204.21,308.62,788.11,0.61
945,1,516.85,-124.78,265.00,641.04,0.69
945,4,1648.37,-212.07,309.64,791.82,0.55
946,1,513.70,-127.29,270.17,651.91,0.67
946,4,1648.11,-217.37,315.74,808.07,0.48
947,1,512.70,-130.00,270.62,651.06,0.66
947,4,1646.55,-208.22,308.54,791.45,0.37
948,1,512.46,-124.14,268.72,643.33,0.71
948,4,1645.65,-202.60,306.40,788.72,0.41
949,1,507.80,-126.95,273.31,653.67,0.71
949,4,1645.20,-198.04,304.07,785.66,0.63
950,1,508.02,-122.57,268.46,639.43,0.68
950,4,1645.52,-190.52,298.72,773.74,0.49
951,1,507.92,-121.00,264.31,626.38,0.75
951,4,1645.46,-187.95,297.14,771.73,0.49
952,1,504.92,-120.55,268.05,634.71,0.73
952,4,1643.34,-194.24,297.23,775.06,0.42
953,1,501.14,-124.42,272.35,646.29,0.73
953,4,1647.09,-198.32,298.99,780.49,0.43
954,1,500.65,-125.34,270.39,643.02,0.70
954,4,1648.47,-202.45,301.59,786.68,0.37
955,1,498.60,-125.14,270.76,646.09,0.73
955,4,1648.28,-197.34,298.68,778.34,0.36
956,1,499.32,-122.06,266.43,637.33,0.76
956,4,1650.96,-188.33,292.08,758.02,0.40
957,1,498.79,-123.58,265.12,636.44,0.74
957,4,1653.02,-176.49,285.72,736.73,0.36
958,1,498.82,-122.15,263.16,634.33,0.72
958,4,1648.63,-176.48,290.08,746.88,0.44
959,1,499.42,-121.06,261.54,632.77,0.71
959,4,1646.49,-174.97,292.76,753.15,0.34
960,1,501.27,-120.44,258.20,625.73,0.72
960,4,1652.74,-176.83,299.36,761.98,0.45
961,1,500.52,-123.36,258.79,630.29,0.78
961,4,1644.94,-170.37,297.27,757.25,0.55
962,1,499.69,-128.03,261.30,640.51,0.79
962,4,1649.86,-162.62,296.77,750.56,0.49
963,1,501.27,-129.34,258.72,637.72,0.77
963,4,1647.34,-165.29,292.82,739.69,0.15
964,1,502.08,-132.61,260.50,646.56,0.77
964,4,1654.04,-171.13,299.43,749.18,0.29
965,1,504.96,-134.70,260.05,650.75,0.78
965,4,1650.48,-168.23,299.70,746.98,0.19
966,1,508.49,-131.69,256.79,647.43,0.79
966,4,1653.74,-155.89,297.69,736.70,0.36
967,1,512.16,-125.83,251.36,636.97,0.80
967,4,1656.49,-145.58,295.67,724.46,0.45
968,1,512.63,-128.41,252.01,642.95,0.77
968,4,1653.74,-140.94,293.40,714.14,0.48
969,1,513.16,-127.81,250.63,642.73,0.77
969,4,1651.41,-131.91,287.92,697.82,0.57
970,1,515.51,-124.57,246.90,635.17,0.75
970,4,1652.24,-132.80,296.99,714.16,0.63
971,1,516.30,-125.91,247.45,639.80,0.79
971,4,1640.44,-126.76,297.75,719.34,0.71
972,1,519.23,-121.86,246.15,639.87,0.80
972,4,1642.80,-126.63,298.65,717.86,0.70
973,1,519.94,-128.13,247.75,648.15,0.79
973,4,1648.47,-133.11,309.20,735.17,0.72
974,1,522.94,-124.96,243.75,640.60,0.79
974,4,1649.52,-134.96,317.07,746.76,0.67
975,1,525.36,-120.38,240.06,631.87,0.77
975,4,1647.29,-133.43,323.51,757.70,0.68
976,1,526.80,-119.34,236.88,624.55,0.80
976,4,1638.86,-128.72,316.31,741.95,0.63
977,1,526.83,-118.42,235.75,622.64,0.76
977,4,1635.71,-120.18,304.29,716.18,0.73
978,1,525.07,-119.11,237.92,630.17,0.80
978,4,1639.60,-121.70,314.98,739.82,0.71
979,1,528.40,-114.82,230.51,609.32,0.58
979,4,1642.69,-113.12,311.97,728.40,0.65
980,1,528.72,-115.81,229.99,607.59,0.35
980,4,1638.93,-109.70,304.59,709.40,0.69
981,1,526.57,-112.83,235.00,621.43,0.66
981,4,1635.70,-101.89,298.24,694.95,0.72
982,1,526.90,-111.53,234.14,617.97,0.51
982,4,1633.18,-102.30,296.78,691.54,0.64
983,1,524.45,-118.57,236.71,623.06,0.64
983,4,1633.94,-100.21,294.77,686.94,0.68
984,1,522.62,-124.24,239.71,630.68,0.68
984,4,1643.79,-97.87,291.22,671.99,0.59
985,1,518.07,-129.72,250.77,661.31,0.79
985,4,1647.14,-89.31,285.24,654.69,0.71
986,1,517.56,-125.97,252.09,665.26,0.81
986,4,1644.89,-94.13,291.88,668.44,0.69
987,1,515.77,-127.32,255.33,676.12,0.83
987,4,1652.21,-82.32,279.80,634.22,0.63
988,1,512.65,-130.02,261.20,695.98,0.83
988,4,1660.27,-87.57,297.67,663.53,0.61
989,1,512.83,-130.48,262.23,702.44,0.81
989,4,1664.58,-87.91,301.04,661.96,0.68
990,1,519.05,-128.10,255.16,681.97,0.80
990,4,1661.01,-79.10,292.88,638.78,0.65
991,1,519.41,-125.57,253.61,678.86,0.80
991,4,1654.00,-80.87,302.64,650.61,0.61
992,1,517.46,-126.62,257.39,692.06,0.81
992,4,1659.02,-73.54,289.23,613.02,0.72
993,1,518.06,-121.05,254.82,687.88,0.82
993,4,1661.79,-71.57,285.92,597.64,0.74
994,1,516.90,-124.79,257.02,697.77,0.82
994,4,1661.18,-76.79,291.55,601.18,0.74
995,1,516.71,-125.87,257.36,703.27,0.83
995,4,1661.35,-78.98,294.56,599.54,0.70
996,1,518.67,-122.41,254.29,698.05,0.82
996,4,1658.91,-80.10,302.41,608.91,0.69
997,1,519.26,-124.30,253.88,700.22,0.81
997,4,1651.73,-79.66,307.08,614.13,0.56
998,1,520.42,-119.03,251.16,694.94,0.79
998,4,1646.90,-73.84,305.85,607.66,0.69
999,1,521.64,-119.59,249.23,690.93,0.77
999,4,1642.31,-70.56,305.50,604.23,0.66
1000,1,524.07,-115.24,245.21,680.30,0.80
1000,4,1639.94,-70.30,310.30,610.27,0.67
1001,1,524.92,-117.66,247.18,686.10,0.75
1001,4,1636.03,-73.16,314.61,619.09,0.70
1002,1,522.92,-119.36,250.08,697.27,0.72
1002,4,1635.02,-68.29,310.04,610.72,0.73
1003,1,519.78,-126.89,256.60,720.96,0.74
1003,4,1635.68,-64.91,304.49,599.73,0.74
1004,1,520.44,-128.43,256.45,724.16,0.73
1004,4,1632.70,-62.58,298.14,588.73,0.78
1005,1,522.53,-124.13,252.48,715.05,0.61
1005,4,1630.68,-63.59,295.92,587.02,0.78
1006,1,524.73,-120.01,249.26,706.93,0.72
1006,4,1629.54,-64.36,294.19,585.96,0.78
1007,1,527.43,-114.20,245.61,696.62,0.72
1007,4,1625.48,-65.15,297.39,596.47,0.78
1008,1,525.23,-112.59,246.38,700.86,0.72
1008,4,1627.32,-62.59,292.00,588.24,0.77
1009,1,524.58,-107.46,242.76,689.84,0.69
1009,4,1633.45,-65.70,286.44,578.45,0.72
1010,1,524.34,-103.53,240.89,683.82,0.75
1010,4,1632.38,-67.58,287.65,583.91,0.75
1011,1,524.87,-97.85,237.64,672.85,0.71
1011,4,1635.48,-64.05,281.17,573.28,0.78
1012,1,524.53,-102.33,237.96,672.17,0.66
1012,4,1634.53,-63.29,279.47,573.76,0.81
1013,1,524.26,-103.73,238.86,673.68,0.65
1013,4,1637.48,-59.00,274.10,565.08,0.79
1014,1,524.67,-102.51,238.20,670.30,0.75
1014,4,1639.02,-56.41,271.32,561.37,0.79
1015,1,522.25,-106.58,242.43,682.09,0.63
1015,4,1638.97,-57.97,269.81,559.45,0.80
1016,1,518.87,-109.57,247.21,697.31,0.74
1016,4,1635.04,-62.75,278.93,582.80,0.80
1017,1,514.82,-118.45,251.92,715.02,0.73
1017,4,1636.24,-61.78,275.28,576.58,0.80
1018,1,518.61,-102.14,244.18,693.00,0.72
1018,4,1641.29,-58.73,271.90,567.70,0.76
1019,1,521.64,-90.02,238.11,674.71,0.71
1019,4,1634.84,-56.82,273.03,570.35,0.78
1020,1,525.31,-75.85,230.57,650.96,0.72
1020,4,1636.94,-54.12,268.03,559.55,0.79
1021,1,526.21,-67.16,226.24,636.20,0.77
1021,4,1637.56,-54.26,268.38,560.70,0.76
1022,1,525.05,-62.19,227.88,639.47,0.68
1022,4,1637.70,-52.33,266.95,556.95,0.78
1023,1,522.44,-68.04,232.66,654.20,0.67
1023,4,1635.36,-53.89,273.04,571.77,0.79
1024,1,527.33,-50.86,222.31,621.63,0.74
1024,4,1632.26,-51.72,276.25,580.96,0.80
1025,1,522.39,-75.23,231.78,651.17,0.70
1025,4,1627.07,-51.70,276.67,581.49,0.82
1026,1,521.13,-86.79,234.83,662.57,0.76
1026,4,1626.43,-50.50,272.41,570.00,0.82
1027,1,520.66,-86.52,235.57,667.12,0.73
1027,4,1621.76,-49.30,270.77,562.78,0.82
1028,1,522.75,-68.64,230.67,652.87,0.74
1028,4,1620.51,-47.42,267.48,551.25,0.82
1029,1,523.05,-72.46,230.95,654.02,0.65
1029,4,1618.57,-47.43,269.34,552.18,0.82
1030,1,526.64,-54.40,222.76,628.24,0.71
1030,4,1615.91,-45.67,268.66,547.45,0.83
1031,1,535.01,-18.89,203.85,564.83,0.76
1031,4,1611.97,-46.96,272.63,553.06,0.82
1032,1,536.62,-3.23,198.67,542.75,0.83
1032,4,1609.45,-46.24,274.56,552.20,0.79
1033,1,536.60,0.99,198.30,534.12,0.80
1033,4,1607.82,-46.45,276.78,555.51,0.80
1034,1,531.99,-0.79,206.49,551.97,0.79
1034,4,1606.89,-45.10,280.19,562.04,0.74
1035,1,529.78,-6.99,210.56,557.93,0.79
1035,4,1609.27,-44.50,279.67,563.08,0.79
1036,1,526.46,-10.37,212.61,559.02,0.80
1036,4,1607.75,-44.41,280.87,566.26,0.81
1037,1,524.26,-11.26,213.51,555.96,0.84
1037,4,1610.29,-42.29,276.96,558.23,0.81
1038,1,524.63,-13.09,209.72,538.80,0.85
